model_name,accuracy_mean,accuracy_std,accuracy_scaled_mean,accuracy_scaled_std
logistic,0.6530232558139535,0.03475635663678028,0.6579069767441861,0.04663298122363848
logistic_iso,0.5046511627906977,0.049551804075959334,0.5644186046511629,0.04845978187846031
logistic_lle,0.501860465116279,0.009114380438263004,0.5072093023255815,0.010629204541419943
logistic_llemodified,0.5134883720930233,0.011478104817909826,0.5095348837209303,0.009781274811540978
logistic_svd,0.6560465116279071,0.04250727676068557,0.6583720930232559,0.04776735128272022
logistic_lda,0.6002325581395349,0.04381052176359563,0.6002325581395349,0.04381052176359563
logistic_pca,0.6197674418604652,0.04321140506060941,0.6581395348837209,0.047375694854565956
logistic_kpca,0.5,0.0,0.5,0.0
logistic_sel,0.6525581395348837,0.03868022862565915,0.6581395348837209,0.046511627906976744
logistic_kbest,0.5897674418604651,0.04108059063581682,0.6213953488372094,0.04206410416070474
logistic_kbestmutual,0.6476744186046512,0.044384499265098395,0.6660465116279068,0.041473665137601666
logistic_select,0.6430232558139535,0.03207700982356679,0.6544186046511627,0.04338565159978233
logistic_selecttree,0.6425581395348837,0.041588912488410075,0.674186046511628,0.0382478609107875
logistic_rfe,0.6369767441860466,0.043025769882547575,0.6572093023255815,0.03982384141505411
kNeighbour,0.5848837209302326,0.038089161288742325,0.6118604651162791,0.034641796767608105
kNeighbour_iso,0.5516279069767442,0.041285456433542145,0.6132558139534884,0.0385520796427503
kNeighbour_lle,0.5430232558139535,0.04480895085580859,0.6169767441860465,0.035223922496830706
kNeighbour_llemodified,0.6283720930232558,0.04375308070741923,0.606046511627907,0.041316884088258336
kNeighbour_svd,0.5848837209302326,0.038089161288742325,0.6116279069767442,0.034806115225804096
kNeighbour_lda,0.5906976744186045,0.04473345130621244,0.5906976744186045,0.04473345130621244
kNeighbour_pca,0.5848837209302326,0.038089161288742325,0.6118604651162791,0.034641796767608105
kNeighbour_kpca,0.4451162790697674,0.12115453259363718,0.5593023255813953,0.06591084986403901
kNeighbour_sel,0.5848837209302326,0.038089161288742325,0.6116279069767442,0.03449394645160772
kNeighbour_kbest,0.5330232558139536,0.032254397111787556,0.5348837209302326,0.042246284010662674
kNeighbour_kbestmutual,0.5427906976744187,0.03575954792376823,0.6251162790697675,0.03818205230788939
kNeighbour_select,0.5902325581395348,0.042089811004246316,0.6213953488372093,0.03678243519956752
kNeighbour_selecttree,0.5518604651162792,0.042768573653726834,0.6202325581395349,0.044830671143490264
kNeighbour_rfe,0.5748837209302325,0.04851276504274956,0.6144186046511627,0.037452692351995144
svcLinear,0.6432558139534883,0.0465952736236956,0.6625581395348837,0.03724489576682218
svcLinear_iso,0.4988372093023256,0.05170170715212956,0.6130232558139534,0.042567669539153676
svcLinear_lle,0.5,0.0,0.5,0.0
svcLinear_llemodified,0.5,0.0,0.5,0.0
svcLinear_svd,0.6441860465116279,0.04766023612074231,0.6630232558139535,0.03724489576682218
svcLinear_lda,0.6183720930232558,0.04385987323579036,0.6183720930232558,0.04385987323579036
svcLinear_pca,0.6425581395348837,0.04638412756997007,0.6625581395348837,0.03724489576682218
svcLinear_kpca,0.5,0.0,0.5,0.0
svcLinear_sel,0.6441860465116278,0.04503469007217926,0.6630232558139535,0.03738982372697462
svcLinear_kbest,0.6086046511627906,0.04285700121020142,0.5881395348837208,0.03885113244370006
svcLinear_kbestmutual,0.6493023255813953,0.04635788543986212,0.6446511627906978,0.0347407924621443
svcLinear_select,0.6604651162790698,0.0380714082412672,0.6490697674418605,0.03630365892997046
svcLinear_selecttree,0.6511627906976745,0.03572625929241213,0.6490697674418605,0.03446963533126222
svcLinear_rfe,0.6544186046511626,0.044614810783702184,0.6600000000000001,0.03984556449939972
svc,0.5,0.0,0.5,0.0
svc_iso,0.5,0.0,0.5,0.0
svc_lle,0.5676744186046512,0.03064918651214317,0.6565116279069767,0.03451040554470382
svc_llemodified,0.6316279069767442,0.0321771731282381,0.6397674418604652,0.031243387618432296
svc_svd,0.5,0.0,0.5,0.0
svc_lda,0.6127906976744186,0.04314877980297552,0.6127906976744186,0.04314877980297552
svc_pca,0.5,0.0,0.5,0.0
svc_kpca,0.5,0.0,0.5,0.0
svc_sel,0.5,0.0,0.5,0.0
svc_kbest,0.5,0.0,0.5360465116279071,0.03190795984654011
svc_kbestmutual,0.5,0.0,0.5,0.0
svc_select,0.5,0.0,0.5,0.0
svc_selecttree,0.5,0.0,0.5,0.0
svc_rfe,0.5,0.0,0.5,0.0
gaussian,0.06046511627906977,0.004651162790697674,0.669767441860465,0.03272383088248904
gaussian_iso,0.07069767441860465,0.07144646303003693,0.6079069767441861,0.11053339383179203
gaussian_lle,0.5723255813953488,0.037011830655035056,0.663953488372093,0.041552484616757306
gaussian_llemodified,0.6553488372093023,0.03143924579743477,0.6630232558139535,0.03561178213036818
gaussian_svd,0.06046511627906977,0.004651162790697674,0.6699999999999998,0.03213091797117057
gaussian_lda,0.6023255813953489,0.04231024511316338,0.6023255813953489,0.04231024511316338
gaussian_pca,0.06046511627906977,0.004651162790697674,0.669767441860465,0.03272383088248904
gaussian_kpca,0.5,0.0,0.5,0.0
gaussian_sel,0.06046511627906977,0.004651162790697674,0.6695348837209302,0.03273126727183228
gaussian_kbest,0.5369767441860465,0.1474442447169853,0.6009302325581396,0.0458935679387684
gaussian_kbestmutual,0.0644186046511628,0.007057670188601637,0.6562790697674419,0.0241860465116279
gaussian_select,0.06046511627906977,0.004651162790697674,0.6572093023255813,0.02496509190757142
gaussian_selecttree,0.21697674418604648,0.25713832655447183,0.6620930232558139,0.025730012274360142
gaussian_rfe,0.06162790697674419,0.00667972400760236,0.6572093023255813,0.031480504667939925
decissionTree,0.612093023255814,0.045557658745993976,0.61,0.04320890179302183
decissionTree_iso,0.5106976744186046,0.04915951233266344,0.5616279069767441,0.04961997277523691
decissionTree_lle,0.5360465116279071,0.0507515182390586,0.6044186046511628,0.0401113916807127
decissionTree_llemodified,0.5772093023255813,0.05266094082924357,0.5874418604651163,0.04206924678608745
decissionTree_svd,0.5574418604651163,0.04427225372592815,0.5688372093023256,0.04268186361772525
decissionTree_lda,0.5883720930232558,0.046220016079887884,0.5879069767441861,0.04622937614804375
decissionTree_pca,0.5495348837209303,0.04312119587629795,0.5379069767441861,0.049976197687663156
decissionTree_kpca,0.4825581395348837,0.06931051925965688,0.4460465116279069,0.11786729298700455
decissionTree_sel,0.6076744186046512,0.04040158070043256,0.6118604651162791,0.04087271328385753
decissionTree_kbest,0.54,0.038925536656572425,0.5388372093023256,0.042476729862041526
decissionTree_kbestmutual,0.6027906976744186,0.041298554196136025,0.6046511627906976,0.04147105697703955
decissionTree_select,0.6111627906976744,0.03878634742211979,0.6046511627906976,0.04726139868116645
decissionTree_selecttree,0.6104651162790697,0.041225809072641485,0.6148837209302326,0.04422519685401791
decissionTree_rfe,0.6109302325581395,0.04498722852237501,0.6123255813953489,0.042093023255813954
rfc,0.6251162790697675,0.03681183058122675,0.6237209302325581,0.041909531966597705
rfc_iso,0.5046511627906978,0.025262280212093525,0.49627906976744185,0.023073705590348766
rfc_lle,0.558139534883721,0.03939784731650563,0.5730232558139535,0.03247830744203924
rfc_llemodified,0.5144186046511628,0.020612576563870076,0.5095348837209303,0.024021128251766846
rfc_svd,0.5179069767441861,0.025069940026156614,0.5174418604651163,0.02925522238467238
rfc_lda,0.6020930232558139,0.04756311454049008,0.6046511627906977,0.04949720152044828
rfc_pca,0.49906976744186055,0.020909550505106077,0.4897674418604651,0.02835302447279659
rfc_kpca,0.5,0.0,0.4941860465116279,0.039070459573049866
rfc_sel,0.6332558139534884,0.03927479426522112,0.6348837209302326,0.04539353789754217
rfc_kbest,0.5625581395348838,0.04356292577287384,0.5737209302325581,0.04483067114349027
rfc_kbestmutual,0.6353488372093024,0.04423253368546508,0.632093023255814,0.042613383892265516
rfc_select,0.6476744186046511,0.0374447492746619,0.6137209302325582,0.04857571186989283
rfc_selecttree,0.6316279069767442,0.03476258035545078,0.6372093023255814,0.03749887324790022
rfc_rfe,0.6432558139534883,0.04530051092301747,0.6437209302325582,0.03854857232556924
mlp,0.5825581395348838,0.05048440313044747,0.6613953488372093,0.035164759388717756
mlp_iso,0.4941860465116279,0.04582339650055356,0.6058139534883722,0.043832736802257584
mlp_lle,0.5695348837209303,0.03333702881984872,0.6597674418604652,0.03952188568819129
mlp_llemodified,0.6441860465116279,0.03214017432810523,0.6606976744186046,0.034704189175795166
mlp_svd,0.6265116279069768,0.038045829299618736,0.6604651162790698,0.03669705543734767
mlp_lda,0.6034883720930233,0.04504969913444306,0.6032558139534884,0.04311053372322788
mlp_pca,0.6446511627906976,0.038295201325552905,0.6672093023255815,0.04152904982597543
mlp_kpca,0.5,0.0,0.5,0.0
mlp_sel,0.5872093023255814,0.03982452044079933,0.6648837209302326,0.03177547652827953
mlp_kbest,0.5472093023255815,0.04935550006529679,0.6023255813953489,0.04539353789754217
mlp_kbestmutual,0.5927906976744186,0.042469089704321235,0.6548837209302326,0.04175956832609795
mlp_select,0.6000000000000001,0.04205381702331424,0.6553488372093024,0.04178028496799046
mlp_selecttree,0.5888372093023255,0.04614741118069754,0.6630232558139534,0.038809348034488905
