model_name,accuracy_mean,accuracy_std,accuracy_scaled_mean,accuracy_scaled_std
logistic,0.6558139534883722,0.062054251461052715,0.6637209302325583,0.05996393363463479
logistic_lle,0.5000000000000001,0.011627906976744207,0.5016279069767442,0.013259893293161348
logistic_llemodified,0.5034883720930233,0.01447662743952179,0.5100000000000001,0.01809027300194828
logistic_pca,0.6251162790697675,0.060490155817159275,0.6634883720930235,0.059876834103883184
logistic_sel,0.6534883720930234,0.06279069767441861,0.6634883720930235,0.05996709030757398
logistic_kbest,0.5874418604651164,0.060520547043018,0.5853488372093024,0.05791164639806352
logistic_kbestmutual,0.6009302325581395,0.06721855573218954,0.6234883720930234,0.0708974380916621
logistic_select,0.6379069767441863,0.056032035185322286,0.6583720930232557,0.07051498734096981
logistic_selecttree,0.6437209302325582,0.06054377709869015,0.6765116279069769,0.06127322243846418
logistic_rfe,0.6237209302325583,0.057095746631394814,0.6486046511627909,0.06308244024426642
gaussian,0.06046511627906977,0.011392975547828735,0.6783720930232559,0.05956894011382507
gaussian_lle,0.5655813953488373,0.05742632310344428,0.641860465116279,0.057813036719330475
gaussian_llemodified,0.6509302325581398,0.05951807538890112,0.6620930232558139,0.05624398291235535
gaussian_pca,0.06046511627906977,0.011392975547828735,0.6783720930232559,0.05956894011382507
gaussian_sel,0.06046511627906977,0.011392975547828735,0.6783720930232559,0.05956894011382507
gaussian_kbest,0.5848837209302326,0.06670609074076032,0.593953488372093,0.06548235966057687
gaussian_kbestmutual,0.578139534883721,0.07099844223186168,0.6093023255813954,0.0695344948266328
gaussian_select,0.06046511627906977,0.011392975547828735,0.6597674418604653,0.04493309731345746
gaussian_selecttree,0.2206976744186046,0.25813943012778096,0.6611627906976746,0.0482528718632404
gaussian_rfe,0.616279069767442,0.11371593654323395,0.646046511627907,0.054597202455387475
rfc,0.638139534883721,0.06489330595201918,0.6376744186046512,0.06267689946334744
rfc_lle,0.5472093023255815,0.06415022593327654,0.6153488372093024,0.05960206964802267
rfc_llemodified,0.5853488372093024,0.05706495307681656,0.6132558139534885,0.05480236382296023
rfc_pca,0.4986046511627907,0.03783199889797722,0.49790697674418605,0.02887750373113095
rfc_sel,0.6406976744186048,0.058034789364966415,0.6355813953488373,0.058191139888239846
rfc_kbest,0.5679069767441861,0.06446350546663633,0.5641860465116281,0.07104413272004009
rfc_kbestmutual,0.5644186046511629,0.069988409764418,0.5639534883720931,0.06901728489186837
rfc_select,0.6520930232558141,0.05648051588786559,0.6220930232558141,0.06173750675561993
rfc_selecttree,0.6481395348837211,0.05925944642219507,0.6465116279069768,0.061088025751459066
rfc_rfe,0.6339534883720931,0.05740183145328601,0.636279069767442,0.059882704890906344
mlp,0.5851162790697676,0.06591864464836111,0.6706976744186047,0.058438302115456524
mlp_lle,0.5723255813953488,0.05178219142559737,0.6309302325581396,0.04773450552637458
mlp_llemodified,0.6065116279069769,0.04457357600264536,0.6365116279069769,0.047507364718977145
mlp_pca,0.6458139534883722,0.06527016699716456,0.6732558139534884,0.05255762502320707
mlp_sel,0.586046511627907,0.06266136551305805,0.6744186046511628,0.057059740215745565
mlp_kbest,0.5746511627906977,0.06669960426645967,0.5860465116279071,0.07152816976385906
mlp_kbestmutual,0.5602325581395349,0.07457070212897726,0.6160465116279071,0.06671581926974203
mlp_select,0.606279069767442,0.056320857059952045,0.6611627906976743,0.062337294977015
mlp_selecttree,0.6079069767441861,0.06724268905998114,0.6825581395348838,0.05357677224887568
mlp_rfe,0.6051162790697676,0.06715898977842363,0.6632558139534885,0.06406797363799607
