0.875
class4,p
nonevent,0.8090253107823089
Ia,0.3960976595660843
nonevent,0.9095935982040813
Ib,0.4725888062508098
nonevent,0.3871562445664533
Ib,0.39202253335682136
nonevent,0.5305457579817063
II,0.6338470462831219
II,0.4102943361539515
II,0.5363495170925704
II,0.5791261271213659
II,0.5185421686336616
Ib,0.5345887842395416
II,0.5924090754682115
II,0.49066355412507756
II,0.4732161092861484
II,0.6404935935315594
nonevent,0.9031256818939326
nonevent,0.9012929273865864
II,0.6103865531808629
II,0.510306856815817
II,0.4871551168688455
II,0.41834066295232597
II,0.49774936702976447
Ib,0.42658655768098563
II,0.46955160934032786
nonevent,0.6367293154936545
nonevent,0.7337325248233992
nonevent,0.3594576626778985
nonevent,0.8580495015245553
II,0.45658900407541037
II,0.539569844067574
nonevent,0.9204154651975611
II,0.4350411022147326
nonevent,0.8934445144706705
nonevent,0.9213034536325321
nonevent,0.7143573809261956
Ib,0.4896358575598871
nonevent,0.6467183726801662
nonevent,0.7198394729428053
nonevent,0.6283966574667442
nonevent,0.43830608529009324
nonevent,0.6566628798508434
nonevent,0.9428112136883073
nonevent,0.6987224946395559
II,0.4797228432216887
nonevent,0.46316573385040327
II,0.5061774552478311
II,0.42551809932680806
II,0.7145274404579548
nonevent,0.9515916567615469
nonevent,0.8711943359737312
nonevent,0.9049050864727015
nonevent,0.8463374243581786
nonevent,0.6204273875447184
nonevent,0.7005749923007455
II,0.49582860077008734
nonevent,0.6733170591321402
nonevent,0.8614714103845176
II,0.4480832162276251
II,0.46564277364767703
nonevent,0.8011552018331389
II,0.5622600438187837
nonevent,0.8520297737355673
nonevent,0.744819984587005
Ib,0.4807523230703372
Ib,0.33790293433803836
Ib,0.4041390049481919
II,0.4102547514414512
nonevent,0.9610000441914581
Ia,0.3357134226803903
nonevent,0.7313850841803174
Ib,0.3757149520329272
nonevent,0.7087727799897074
nonevent,0.9065754027536708
nonevent,0.7293632513303633
nonevent,0.8519153368442076
nonevent,0.4122872039165914
nonevent,0.9393922754998711
II,0.41591336047984834
Ib,0.37967175524999086
nonevent,0.5621013486535348
nonevent,0.5596955766277009
II,0.44176571501086714
II,0.5658892642818134
II,0.5682925354126607
Ib,0.42893516907235973
Ib,0.36154449229298485
II,0.4470300702979103
nonevent,0.9154874201045815
II,0.4472453698047925
nonevent,0.8395333132331102
II,0.5107493474360011
nonevent,0.6153565954921536
nonevent,0.9500551670530983
II,0.5143366235015245
nonevent,0.8701686583844418
nonevent,0.6105282861371579
nonevent,0.6890530942005211
II,0.35330814570349617
nonevent,0.8973767991323457
nonevent,0.9516304805648937
nonevent,0.9492375592614246
II,0.5897560819468672
nonevent,0.6216932566096816
Ib,0.44642599061551275
Ib,0.42518305047544885
II,0.37259402333459374
nonevent,0.7912420355437438
II,0.58493682436192
Ib,0.4750814444361373
II,0.4684635230877302
II,0.33304938615299584
Ib,0.45670340837419066
Ib,0.44548033407536586
nonevent,0.8489873438686607
nonevent,0.913714097094748
II,0.431705500251869
II,0.3825437684430445
nonevent,0.6614773351901702
II,0.4804201033883108
Ib,0.3731548924555283
II,0.4606811530224557
nonevent,0.4554470501532152
nonevent,0.9568663878238333
nonevent,0.740146585060391
nonevent,0.9169582615541775
II,0.43034254065263855
nonevent,0.8860351527422715
II,0.3744414444179305
nonevent,0.800026952515264
Ib,0.4333327603507743
nonevent,0.8074654492967546
nonevent,0.880508175045266
nonevent,0.5519002614594806
nonevent,0.41475857789688436
nonevent,0.7811607091064431
II,0.5030658985500637
Ib,0.4570703728874725
II,0.5214978904048909
Ia,0.35821863372887824
nonevent,0.8269927535007888
nonevent,0.8929563757287714
II,0.4520508251760755
Ib,0.5083813992754384
nonevent,0.8377011874381024
nonevent,0.6058879588187805
Ia,0.3484032875794742
nonevent,0.6359045863629608
Ib,0.473744158868054
nonevent,0.8447810328220116
nonevent,0.912569987106263
nonevent,0.7915813655022294
Ia,0.4652477346265453
nonevent,0.8041703556210126
nonevent,0.8038821253998518
II,0.4122722215883391
II,0.5447906572298908
nonevent,0.5539747765771904
nonevent,0.9046939632523113
nonevent,0.45813807300747234
nonevent,0.6738158113155402
nonevent,0.5198161422042926
Ib,0.5010951317651168
nonevent,0.6714034014051169
nonevent,0.3635278353028506
II,0.42390342816256155
Ib,0.3509721902439955
Ib,0.5105775696499177
II,0.5372047979567489
Ib,0.3924586906159058
nonevent,0.8903620960618255
nonevent,0.8647898012622609
II,0.6362781221917502
nonevent,0.7249965593121277
Ib,0.43723699917377584
nonevent,0.783865372515881
II,0.4211174497957018
II,0.5229634278824046
nonevent,0.6924917139793925
nonevent,0.8516806735288281
nonevent,0.3799814296420961
nonevent,0.8044433471279476
nonevent,0.8886618070304351
nonevent,0.8249021760913444
nonevent,0.7786029733936208
II,0.43604329138165676
nonevent,0.6208939021727387
nonevent,0.5329780414841551
nonevent,0.9132232851981603
nonevent,0.6318060139072698
II,0.3843031833239639
nonevent,0.8110122515720347
nonevent,0.8396465412866577
Ib,0.46989904111558384
Ib,0.529442944677873
II,0.41256477948444853
nonevent,0.7679379054173262
II,0.5392991667678947
nonevent,0.8791488521901711
Ib,0.4963893394259341
II,0.5211910523149049
Ib,0.458965116851966
nonevent,0.6005802684468193
Ib,0.5417637532674616
Ib,0.45477964452849357
nonevent,0.9242589211387463
nonevent,0.8292818319212626
nonevent,0.8861280097344001
II,0.4669304450999082
Ib,0.515051673624435
nonevent,0.9077791437231355
nonevent,0.9248410135339828
nonevent,0.7873138686209885
II,0.39021309392573306
nonevent,0.899576099111793
Ib,0.47972039759249824
II,0.39556681906084584
Ib,0.5094412178755264
nonevent,0.9385183452091139
nonevent,0.7581373478577451
II,0.4300782049986564
nonevent,0.9032803379331362
nonevent,0.712279413345324
nonevent,0.8574587588712199
II,0.32712428010326966
nonevent,0.7453570370377447
nonevent,0.757484435458569
II,0.5395079737922751
nonevent,0.48434473481927076
nonevent,0.548880809575857
II,0.4684642598091102
nonevent,0.9144328534286096
nonevent,0.7896190229669077
II,0.5466889741678486
nonevent,0.8916004977385634
Ib,0.45111534426124195
Ia,0.32303350253488516
II,0.48493110054231053
nonevent,0.8698645036827569
nonevent,0.9419059113715926
II,0.4906894571873023
nonevent,0.3397941640416282
nonevent,0.8268599034262722
nonevent,0.9386542190714643
nonevent,0.9554893575809527
II,0.47665383271906914
II,0.41670900517777254
II,0.6225665121430539
nonevent,0.863012338778811
II,0.5200658093900168
II,0.503265099343551
nonevent,0.6521351381225291
II,0.5007664600359245
nonevent,0.7810442152069655
nonevent,0.31499474972669017
nonevent,0.8638327517721249
nonevent,0.5693459177161342
nonevent,0.8574627006257767
Ib,0.45084890023845176
Ib,0.502315823886095
nonevent,0.7813284701561758
nonevent,0.9631574774244025
nonevent,0.5219858328968574
II,0.3988147359325503
nonevent,0.7191736751947014
II,0.46081403668141285
II,0.41527672912801034
II,0.4279326526267473
nonevent,0.4467475440339426
nonevent,0.7486979897668062
nonevent,0.8602140645521688
nonevent,0.9527052565388066
Ib,0.4405768699638534
nonevent,0.8998266839635052
Ib,0.4511234705962615
nonevent,0.9032127667282812
Ib,0.5055484128209349
nonevent,0.7398478394704925
nonevent,0.5525934401886912
nonevent,0.5203534773310629
II,0.5385025990629829
II,0.461769281096608
nonevent,0.8501836651749615
Ib,0.47855936441092534
II,0.3673118541151476
II,0.4785089415363883
II,0.5483463789614449
II,0.6172610096891756
nonevent,0.5460506796859752
nonevent,0.5269980866871125
nonevent,0.765796690962719
II,0.4669842554379319
nonevent,0.5052932527506316
nonevent,0.8891871396188448
nonevent,0.8840608445032035
Ib,0.41965123179706826
Ib,0.38963785951205854
nonevent,0.8666017574196592
Ib,0.40436376488949594
II,0.4601282234103003
nonevent,0.9359535055760404
II,0.553984214171355
nonevent,0.8967616843780581
nonevent,0.7477358598072523
nonevent,0.8991199486238527
nonevent,0.4743495093904627
nonevent,0.5797905320800213
II,0.6089569790949415
nonevent,0.6432253654159952
nonevent,0.6392666216063876
II,0.5180332515098122
nonevent,0.8779500031511654
nonevent,0.8605607277548986
nonevent,0.46077568912467654
nonevent,0.6919538287661684
nonevent,0.9329660475075816
II,0.4258006472691
II,0.4878967330971898
nonevent,0.9204973631976086
nonevent,0.9142390736452299
nonevent,0.7010672604999886
Ib,0.3798059007978208
nonevent,0.73996259528031
nonevent,0.5415200374665672
nonevent,0.8217864947831988
nonevent,0.8588461852375289
nonevent,0.8850457088409929
nonevent,0.5137982666735652
II,0.4813803580834804
Ib,0.44902320499269704
nonevent,0.729599950903221
nonevent,0.6792859061034725
nonevent,0.8689355645602218
nonevent,0.9536255119956014
nonevent,0.5139079883012458
Ib,0.46341379301034274
nonevent,0.8652447502107358
nonevent,0.9197679469577498
Ib,0.3874448266682181
nonevent,0.6187942078681972
II,0.44196327867144897
nonevent,0.8467871148248771
nonevent,0.9004379066027121
nonevent,0.6441174406807566
nonevent,0.8691466421423666
Ib,0.3436078881963414
nonevent,0.43336510138618806
nonevent,0.8690907952750685
nonevent,0.7237363810539189
II,0.5785689784401107
nonevent,0.6886127858090119
nonevent,0.9371706340509492
nonevent,0.7921039276997685
II,0.4547785557263695
Ib,0.31871390870465793
II,0.6065525079441748
nonevent,0.7320753008934147
nonevent,0.9323752492170886
nonevent,0.847403097234099
II,0.36221973349162206
II,0.3625311871874404
nonevent,0.6693994351099154
II,0.4959335924311788
II,0.4718302634051032
Ib,0.4748335222733378
II,0.44382606946313446
nonevent,0.5167200915545556
II,0.5684840321403869
nonevent,0.9241182961236348
nonevent,0.75779416347548
nonevent,0.4145339201018502
II,0.5273655678724721
II,0.39177747268679086
nonevent,0.9566717423249004
nonevent,0.6458817540222731
nonevent,0.9606352679294431
II,0.6926276230345354
nonevent,0.8773366310243539
II,0.46083271477301524
Ib,0.39165816714984086
Ib,0.4716076725021643
nonevent,0.6358314723896576
II,0.3957162939473069
Ib,0.4799907918038489
nonevent,0.9349182928907616
nonevent,0.6514786156295742
II,0.535697553421085
nonevent,0.9162405125274242
nonevent,0.7314677120767311
nonevent,0.896116438729397
nonevent,0.8123104177958268
nonevent,0.6227642887312781
II,0.4258820786763202
nonevent,0.7379517226268506
II,0.4919487597934236
nonevent,0.7805978172781888
Ib,0.3502067219849268
nonevent,0.7719711315308502
II,0.6047297945119446
nonevent,0.8845627038769344
nonevent,0.8045498003056702
Ia,0.39907466309746453
nonevent,0.8685010329820472
II,0.46727171354636166
nonevent,0.707985180781286
nonevent,0.47790063477491396
nonevent,0.8130546339342725
nonevent,0.3835989072309754
nonevent,0.7996868881582849
nonevent,0.6325113253500458
nonevent,0.835836996396082
nonevent,0.8834203598828667
nonevent,0.8698385625339454
nonevent,0.9476375713926771
Ib,0.5571641731817318
nonevent,0.7151498496123179
II,0.44723618739617044
Ib,0.4609113207725566
nonevent,0.6388875784619077
Ib,0.3589466228885839
nonevent,0.5214813235837326
II,0.4507097745336715
nonevent,0.48039731091811394
nonevent,0.8770471753169208
nonevent,0.5679989493892217
Ib,0.4225622162635869
nonevent,0.9240500108631302
nonevent,0.887287423064605
nonevent,0.8086456239843299
nonevent,0.8786173695628502
nonevent,0.7294040725919488
Ib,0.4149581979509913
II,0.5175127141494089
nonevent,0.9317571573385455
nonevent,0.5808794599688305
Ib,0.41055335597597037
nonevent,0.9225739642615981
nonevent,0.9144823308762955
Ia,0.4506968286351984
II,0.5508401564705856
nonevent,0.8250931200851428
Ib,0.44117661263158997
nonevent,0.7167446756082533
nonevent,0.35757426858483443
II,0.43998293363924534
II,0.6017185915626688
nonevent,0.8748709822871681
Ib,0.4370158894099362
nonevent,0.4526140759661511
nonevent,0.884089890890251
nonevent,0.6527032331995622
II,0.6380423934581573
II,0.4333722802758556
II,0.4528578081846249
nonevent,0.7843265664940015
nonevent,0.6330906291307232
nonevent,0.3869388414669653
nonevent,0.8153766076803158
nonevent,0.3909483120908212
nonevent,0.6196164803225328
II,0.5662840981065848
nonevent,0.636012230492591
II,0.5241862473456214
II,0.5948372802761444
II,0.5527308420285932
nonevent,0.5912780391567345
nonevent,0.703481727194445
nonevent,0.805880687949948
nonevent,0.8529017621434654
II,0.3953477427782043
nonevent,0.42219334085332727
Ib,0.5384404892598195
nonevent,0.8378726762437015
nonevent,0.7492460228630204
nonevent,0.8805149160327145
nonevent,0.7201201344704444
nonevent,0.8416518443096939
nonevent,0.6992958530563412
nonevent,0.8379248248286008
II,0.46760957268759334
Ib,0.42830110611442085
Ib,0.36427473610325106
nonevent,0.883818535982147
II,0.6335143632192757
Ia,0.34694598776129526
nonevent,0.8970017800279119
nonevent,0.5262592849557435
nonevent,0.44162707781434574
nonevent,0.9254900833762476
nonevent,0.5815806108508379
nonevent,0.937590227144922
nonevent,0.8811821782688107
nonevent,0.8632316018928584
Ib,0.35862935538994567
nonevent,0.8535894704426408
II,0.4106765790459702
nonevent,0.4461996134743995
